Source of Revenue,2016 (Rs Mn),2017 (Rs Mn),2018 (Rs Mn),2019 (Rs Mn),2020 (Rs Mn),2021 (Rs Mn),2022 (Rs Mn),2023 (Rs Mn)
Tourism Development Levy,1276.80,1541.50,1482.10,924.20,540.90,818.10,1439.90,1473.80
Income of Tourism Development Authority,168.70,248.90,248.60,238.80,231.80,245.90,480.40,377.10
Embarkation tax on Foreign Tourists,2355.40,2378.80,2824.90,2089.20,489.50,483.90,2597.80,4234.30
Culture Triangle,3363.30,3774.40,4200.10,3290.70,830.60,173.00,1540.60,3490.10
Botanical Gardens,594.30,640.00,673.40,537.10,181.80,35.70,200.10,568.60
Zoological Garden,841.10,728.90,698.80,476.90,113.70,25.20,471.10,528.70
Wildlife Parks,1445.90,1730.70,2138.40,1827.70,494.90,135.60,1219.20,3779.50
Conservation Forests,0.00,25.40,66.10,124.40,61.30,10.60,67.30,146.10
Museums,33.60,50.20,76.00,56.40,14.10,1.80,2.20,51.20
BMICH,551.40,648.80,464.80,21.40,3.20,0.00,0.00,0.00
Total,10630.50,11767.60,12408.40,9586.80,2961.80,1929.80,8018.60,14649.40
Exchange Rate (1 USD = Rs),145.60,152.50,162.50,178.80,185.50,198.90,324.50,327.50
